Iteration,Timestep,StratumId,SecondaryStratumId,TertiaryStratumId,DistributionTypeId,ExternalVariableTypeId,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionTypeId,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionMin,ValueDistributionMax,ValueDistributionRelativeFrequency
,,,,,Urbanization Distribution,,,,0.702448,,,,,,1
,,,,,Urbanization Distribution,,,,0.712764,,,,,,1
,,,,,Urbanization Distribution,,,,0.72463,,,,,,1
,,,,,Urbanization Distribution,,,,0.734359,,,,,,1
,,,,,Urbanization Distribution,,,,0.82421,,,,,,1
,,,,,Urbanization Distribution,,,,0.826584,,,,,,1
,,,,,Urbanization Distribution,,,,0.83654,,,,,,1
,,,,,Urbanization Distribution,,,,0.85617,,,,,,1
,,,,,Urbanization Distribution,,,,0.895688,,,,,,1
,,,,,Urbanization Distribution,,,,0.896863,,,,,,1
,,,,,Urbanization Distribution,,,,0.913278,,,,,,1
,,,,,Urbanization Distribution,,,,0.91895,,,,,,1
,,,,,Urbanization Distribution,,,,0.926258,,,,,,1
,,,,,Urbanization Distribution,,,,0.927922,,,,,,1
,,,,,Urbanization Distribution,,,,0.9322,,,,,,1
,,,,,Urbanization Distribution,,,,0.949316,,,,,,1
,,,,,Urbanization Distribution,,,,0.950143,,,,,,1
,,,,,Urbanization Distribution,,,,0.978786,,,,,,1
,,,,,Urbanization Distribution,,,,0.989673,,,,,,1
,,,,,Urbanization Distribution,,,,0.995117,,,,,,1
,,,,,Urbanization Distribution,,,,1.01276,,,,,,1
,,,,,Urbanization Distribution,,,,1.016709,,,,,,1
,,,,,Urbanization Distribution,,,,1.051798,,,,,,1
,,,,,Urbanization Distribution,,,,1.090535,,,,,,1
,,,,,Urbanization Distribution,,,,1.091031,,,,,,1
,,,,,Urbanization Distribution,,,,1.099771,,,,,,1
,,,,,Urbanization Distribution,,,,1.102025,,,,,,1
,,,,,Urbanization Distribution,,,,1.115766,,,,,,1
,,,,,Urbanization Distribution,,,,1.116346,,,,,,1
,,,,,Urbanization Distribution,,,,1.120263,,,,,,1
,,,,,Urbanization Distribution,,,,1.204808,,,,,,1
,,,,,Urbanization Distribution,,,,1.21041,,,,,,1
,,,,,Urbanization Distribution,,,,1.216246,,,,,,1
,,,,,Urbanization Distribution,,,,1.218624,,,,,,1
,,,,,Urbanization Distribution,,,,1.238517,,,,,,1
,,,,,Urbanization Distribution,,,,1.296964,,,,,,1
,,,,,Urbanization Distribution,,,,1.33721,,,,,,1
,,,,,Urbanization Distribution,,,,1.367684,,,,,,1
,,,,,Urbanization Distribution,,,,1.373275,,,,,,1
,,,,,Urbanization Distribution,,,,1.408866,,,,,,1
,,,,,Urbanization Distribution,,,,1.408935,,,,,,1
,,,,,Urbanization Distribution,,,,1.430283,,,,,,1
,,,,,Urbanization Distribution,,,,1.475176,,,,,,1
,,,,,Urbanization Distribution,,,,1.489683,,,,,,1
,,,,,Urbanization Distribution,,,,1.516053,,,,,,1
,,,,,Urbanization Distribution,,,,1.520799,,,,,,1
,,,,,Urbanization Distribution,,,,1.543973,,,,,,1
,,,,,Urbanization Distribution,,,,1.749014,,,,,,1
,,,,,Urbanization Distribution,,,,1.871881,,,,,,1
,,,,,Urbanization Distribution,,,,1.910829,,,,,,1
,,,,,Urbanization Distribution,,,,1.917954,,,,,,1
,,,,,Urbanization Distribution,,,,1.931347,,,,,,1
,,,,,Urbanization Distribution,,,,1.970944,,,,,,1
,,,,,Urbanization Distribution,,,,2.017468,,,,,,1
,,,,,Urbanization Distribution,,,,2.069787,,,,,,1
,,,,,Urbanization Distribution,,,,2.076422,,,,,,1
,,,,,Urbanization Distribution,,,,2.11639,,,,,,1
,,,,,Urbanization Distribution,,,,2.192388,,,,,,1
,,,,,Urbanization Distribution,,,,2.23762,,,,,,1
,,,,,Urbanization Distribution,,,,2.436019,,,,,,1
,,,,,Urbanization Distribution,,,,2.492232,,,,,,1
,,,,,Urbanization Distribution,,,,2.550879,,,,,,1
,,,,,Urbanization Distribution,,,,2.691799,,,,,,1
,,,,,Urbanization Distribution,,,,2.814315,,,,,,1
,,,,,Urbanization Distribution,,,,3.85191,,,,,,1
